SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
859588	484	484
860637	449	449
861639	495	495
862654	473	473
863658	431	431
864729	446	446
865759	477	477
866762	484	484
867806	515	515
868845	499	499
869859	487	487
870877	512	512
871894	454	454
872897	504	504
873903	496	496
874916	476	476
875932	496	496
876932	508	508
877981	477	477
879011	507	507
880011	506	506
881024	518	518
882027	477	477
883036	490	490
884052	450	450
885064	481	481
886075	516	516
887094	490	490
888113	506	506
889120	439	439
890128	517	517
891131	522	522
892135	492	492
893153	436	436
894177	482	482
895196	479	479
896212	482	482
897225	504	504
898231	489	489
899254	488	488
900285	504	504
901300	497	497
902314	500	500
903344	519	519
904361	498	498
905390	493	493
906394	485	485
907394	488	488
908447	496	496
909456	485	485
910466	488	488
911527	487	487
912539	475	475
913553	498	498
914555	492	492
915565	476	476
916581	488	488
917586	499	499
918605	552	552
919622	532	532
920642	485	485
921661	468	468
922701	457	457
923722	484	484
924738	523	523
925749	475	475
926787	530	530
927796	498	498
928797	492	492
929798	465	465
930831	483	483
931838	505	505
932895	486	486
933914	480	480
934944	495	495
935948	480	480
936993	509	509
937996	481	481
939000	446	446
940033	471	471
941071	488	488
942077	497	497
943080	486	486
944158	462	462
945199	474	474
946231	476	476
947232	486	486
948242	493	493
949250	450	450
950313	480	480
951347	481	481
952381	490	490
953384	456	456
954401	479	479
955410	475	475
956413	532	532
957534	481	481
958545	528	528
959597	482	482
960599	453	453
961606	475	475
962621	485	485
963627	490	490
964647	489	489
965651	471	471
966741	474	474
967754	478	478
968793	516	516
969813	485	485
970850	502	502
971854	466	466
972867	483	483
973877	499	499
974896	463	463
975907	465	465
976940	490	490
977941	480	480
978946	485	485
979965	482	482
980977	471	471
981980	496	496
983013	490	490
984023	503	503
985051	461	461
986117	468	468
987118	511	511
988119	465	465
989124	474	474
990149	500	500
991162	501	501
992183	512	512
993212	493	493
994249	470	470
995271	493	493
996305	478	478
997325	484	484
998378	501	501
999397	479	479
1000411	500	500
1001453	502	502
1002466	469	469
1003481	495	495
1004497	476	476
1005514	488	488
1006530	468	468
1007591	475	475
1008599	486	486
1009611	448	448
1010615	485	485
1011622	466	466
1012636	503	503
1013661	494	494
1014661	457	457
1015717	493	493
1016746	474	474
1017747	496	496
1018768	481	481
1019781	471	471
1020794	485	485
1021860	491	491
1022879	478	478
1023929	491	491
1024937	508	508
1025941	455	455
1026958	507	507
1027967	460	460
1029008	477	477
1030022	460	460
1031023	488	488
1032070	478	478
1033077	482	482
1034083	468	468
1035095	468	468
1036109	495	495
1037123	490	490
1038136	473	473
1039164	450	450
1040177	493	493
1041201	500	500
1042217	485	485
1043255	462	462
1044279	484	484
1045291	482	482
1046311	504	504
1047322	480	480
1048324	477	477
1049337	483	483
1050344	485	485
1051354	498	498
1052361	433	433
1053366	484	484
1054367	502	502
1055377	440	440
1056391	477	477
1057404	460	460
1058424	475	475
1059432	467	467
1060437	479	479
1061452	453	453
1062471	492	492
1063556	455	455
1064557	472	472
1065576	467	467
1066580	465	465
1067600	469	469
1068623	471	471
1069666	481	481
1070675	435	435
1071684	480	480
1072692	464	464
1073746	489	489
1074759	477	477
1075761	501	501
1076771	499	499
1077841	510	510
1078854	483	483
1079871	475	475
1080878	486	486
1081885	495	495
1082900	518	518
1083912	485	485
1084930	489	489
1085951	466	466
1086966	499	499
1087990	498	498
1088992	524	524
1090079	504	504
1091117	492	492
1092167	508	508
1093192	490	490
1094206	433	433
1095213	486	486
1096231	499	499
1097255	500	500
1098269	491	491
1099275	478	478
1100294	471	471
1101300	481	481
1102312	466	466
1103337	476	476
1104355	472	472
1105375	497	497
1106390	470	470
1107435	456	456
1108529	476	476
1109541	490	490
1110543	480	480
1111555	459	459
1112601	484	484
1113676	471	471
1114680	463	463
1115684	466	466
1116695	482	482
1117703	476	476
1118717	491	491
1119717	472	472
1120727	491	491
1121758	480	480
1122778	510	510
1123800	475	475
1124818	518	518
1125833	464	464
